name	           RA         Dec       dist_Mpc	loglumK     
JKB142             01:45:48.2 +16:22:41	10.50	 7.01
KK15               01:46:41.6 +26:48:05	8.67	 6.98
N672dwB            01:47:11.1 +27:41:00	7.20	 5.69
N672dwA            01:47:19.1 +27:15:16	7.20	 6.18
IC1727             01:47:30.1 +27:19:52	7.45	 9.49
NGC0672            01:47:53.2 +27:26:01	7.18	 9.65
UGC01281           01:49:32.3 +32:35:33	5.27	 8.57
Phoenix            01:51:06.3 -44:26:41	0.44	 6.07
KK16               01:55:20.6 +27:57:15	5.62	 7.35
KK17               02:00:09.9 +28:49:57	5.01	 7.02
NGC0784            02:01:16.8 +28:50:37	5.37	 8.67
UGC01561           02:04:05.0 +24:12:28	9.20	 8.52
CetusIII          02:05:19.4 -04:16:12	0.25	 3.67
Cas1               02:06:07.9 +69:00:36	5.27	 9.17
UGC01703           02:12:55.8 +32:48:51	4.31	 7.59
TriangulumII      02:13:17.4 +36:10:42	0.03	 3.45
NGC0855            02:14:03.7 +27:52:38	9.73	 9.37
Segue2            02:19:16.0 +20:10:31	0.03	 3.88
[TT2009]25        02:21:12.4 +42:21:51	10.28	 7.23
UGC01807           02:21:13.4 +42:45:46	9.95	 7.89
NGC0891            02:22:32.8 +42:20:48	9.95	10.98
Eridanus3         02:22:45.5 -52:17:01	0.09	 3.51
[TT2009]30        02:22:54.7 +42:42:45	9.80	 6.79
KKH11              02:24:35.0 +56:00:42	5.48	 8.17
[KK2000]03        02:24:42.7 -73:30:46	2.00	 7.59
DDO019             02:25:00.2 +36:02:16	9.55	 8.03
d0226+3325         02:26:52.8 +33:25:37	9.55	 7.34
NGC0925            02:27:16.0 +33:34:41	9.55	10.14
Halogas            02:27:20.0 +33:57:30	9.55	 7.14
KKH12              02:27:27.0 +57:29:16	5.57	 8.21
Hydrus1dw        02:29:33.4 -78:41:28	0.03	 4.48
DDO022             02:32:54.0 +38:40:50	9.95	 8.07
DDO025             02:33:18.2 +33:29:28	9.55	 8.89
DDO024             02:33:43.0 +40:31:41	9.95	 8.97
MB1                02:35:35.6 +59:22:47	7.35	 9.00
Maffei1            02:36:35.5 +59:39:18	5.60	10.76
ESO115-021         02:37:45.0 -61:20:28	5.08	 8.75
Fornax             02:39:54.7 -34:31:33	0.14	 7.55
Maffei2            02:41:54.5 +59:36:11	5.73	11.21
UGC02172           02:42:10.8 +43:21:19	9.30	 8.32
AGC122226          02:46:38.9 +27:43:35	8.56	 7.50
AGC124635          02:48:38.5 +19:19:42	9.30	 6.55
AGC123352          02:48:39.2 +23:16:26	8.47	 6.79
Dw2                02:54:08.5 +59:00:19	6.00	 8.96
Horologium1       02:55:31.7 -54:07:08	0.08	 4.05
PGC2807172         02:55:37.8 +19:38:04	10.30	 9.05
MB3                02:55:43.6 +58:51:42	5.47	 8.61
ESO154-023         02:56:50.4 -54:34:23	5.86	 8.93
Dw1                02:56:56.1 +58:54:42	6.25	10.64
AGC124056          02:57:36.4 +23:47:21	7.80	 6.67
ESO199-007         02:58:04.1 -49:22:57	6.03	 7.27
NGC1156            02:59:42.4 +25:14:15	7.80	 9.31
N1156dw1           03:00:18.2 +25:14:56	7.80	 6.65
N1156dw2           03:00:28.0 +25:18:17	7.80	 6.51
LVJ0300+2546      03:00:39.3 +25:46:56	7.80	 7.34
PerseusI          03:01:23.6 +40:59:18	0.79	 6.80
dw0301+2446        03:01:32.2 +24:46:59	7.80	 6.67
KKH18              03:03:05.9 +33:41:40	4.79	 7.28
N1291-DW9          03:09:25.1 -41:04:57	9.08	 7.04
ESO300-014         03:09:37.8 -41:01:50	9.80	 9.30
ESO300-016         03:10:10.5 -40:00:11	8.80	 7.94
N1291-DW11         03:12:44.2 -42:47:54	9.08	 6.86
N1291-DW2          03:15:09.7 -40:40:05	9.08	 7.60
Horologium2       03:16:32.1 -50:01:05	0.08	 3.76
N1291-DW8          03:17:01.4 -41:42:01	9.08	 8.10
NGC1291            03:17:18.6 -41:06:29	9.08	10.97
N1291-DW3          03:17:29.4 -40:58:22	9.08	 7.84
N1291-DW5          03:17:38.1 -41:41:45	9.08	 7.72
NGC1313            03:18:15.4 -66:29:51	4.31	 9.57
N1291-DW6          03:18:43.0 -41:01:27	9.08	 7.46
N1291-DW12         03:18:47.0 -42:11:58	9.08	 6.52
N1291-DW1          03:19:25.9 -40:03:47	9.08	 7.38
N1291-DW15         03:19:37.7 -40:25:17	9.08	 6.30
N1291-DW4          03:19:43.1 -41:26:54	9.08	 7.81
NGC1311            03:20:07.4 -52:11:06	5.55	 8.43
UGC02684           03:20:23.7 +17:17:42	6.49	 7.57
N1291-DW13         03:20:33.8 -40:48:18	9.08	 7.28
KK27               03:21:03.0 -66:19:11	4.23	 7.04
[KK2000]08        03:21:24.6 -41:59:54	9.08	 7.64
UGC02716           03:24:07.2 +17:45:15	6.50	 8.36
N1291-DW14         03:25:02.8 -40:21:32	9.08	 6.60
N1291-DW10         03:25:38.4 -41:13:51	9.08	 7.58
UGC02773           03:32:07.1 +47:47:37	7.52	 9.24
IC1959             03:33:11.8 -50:24:38	6.19	 8.49
Reticulum2        03:35:42.1 -54:02:57	0.03	 3.78
PGC013294          03:35:56.8 -45:11:29	7.28	 7.54
NGC1400            03:39:30.8 -18:41:17	24.89	10.99
Eridanus2         03:44:21.1 -43:31:59	0.36	 5.29
KKH22              03:44:56.6 +72:03:52	3.12	 6.70
KK35               03:45:12.6 +67:51:50	3.16	 7.97
IC0342             03:46:48.9 +68:05:45	3.28	10.60
UGC02905           03:57:00.6 +16:31:28	5.83	 8.02
UGCA086            03:59:49.5 +67:07:31	2.98	 9.13
IC2038             04:08:54.1 -55:59:32	19.20	 9.08
NGC1533            04:09:51.8 -56:07:06	19.41	10.85
ESO483-013         04:12:41.1 -23:09:32	7.40	 8.72
CamA               04:25:15.6 +72:48:21	3.56	 7.79
NGC1592            04:29:40.8 -27:24:31	9.10	 8.17
NGC1569            04:30:49.1 +64:50:53	3.19	 9.40
UGCA092            04:32:00.3 +63:36:50	3.22	 8.04
NGC1560            04:32:49.9 +71:52:52	2.99	 8.60
NGC1637            04:41:28.2 -02:51:29	9.29	10.07
Pictoris1         04:43:47.4 -50:16:59	0.11	 4.01
CamB               04:53:06.9 +67:05:57	3.50	 7.09
NGC1705            04:54:13.7 -53:21:41	5.73	 8.62
HIPASSJ0457-42    04:56:58.7 -42:48:14	6.95	 8.18
NGC1744            04:59:58.2 -26:01:36	10.00	 9.42
ESO486-021         05:03:19.7 -25:25:23	10.00	 8.74
NGC1800            05:06:25.7 -31:57:15	8.00	 9.04
UGCA105            05:14:15.1 +62:34:51	3.39	 9.14
HIPASSJ0517-32    05:17:21.6 -32:45:35	8.00	 7.80
KKH30              05:17:42.0 +81:37:27	4.50	 6.68
LMC                05:23:34.6 -69:45:22	0.05	 9.42
UGC03303           05:24:59.5 +04:30:18	7.14	 8.75
ESO553-046         05:27:05.7 -20:40:41	6.70	 8.17
ColumbiaI         05:31:25.7 -27:57:27	0.18	 4.39
KK49               05:41:41.5 +06:40:54	10.05	 9.24
Orion              05:45:02.0 +05:04:06	6.79	 8.73
GALFA-Dw4          05:45:44.8 +10:46:16	7.22	 7.76
A0554+07           05:57:36.7 +07:29:31	9.77	 7.89
KKH34              05:59:41.2 +73:25:39	7.28	 7.57
ESO364-029         06:05:45.4 -33:04:54	9.04	 9.12
HIPASSJ0607-34    06:07:19.7 -34:12:16	9.64	 8.69
NGC2188            06:10:09.5 -34:06:22	8.39	 9.37
ESO121-020         06:15:54.5 -57:43:35	6.08	 7.78
LVJ0616-5745      06:16:09.2 -57:45:55	6.00	 7.07
UGCA127sat         06:20:54.8 -08:39:01	8.50	 8.76
UGCA127            06:20:55.7 -08:29:44	8.50	10.00
WHIB0619-07       06:22:13.8 -07:50:16	8.40	 9.45
N2146sat           06:24:13.2 +77:57:53	4.50	 7.42
ESO489-056         06:26:17.0 -26:15:56	6.31	 7.68
#HIPASSJ0630+08    06:30:09.2 +08:21:16	5.13	   NaN  
UGC03475           06:30:28.8 +39:30:14	20.00	 8.94
UGC03476           06:30:29.2 +33:18:07	12.42	 8.46
ESO490-017         06:37:56.6 -25:59:59	6.34	 8.13
CGMW1-260          06:38:00.1 -15:01:22	10.80	 9.44
UGC03501           06:38:38.4 +49:15:30	15.50	 8.15
KK55               06:39:32.9 -40:43:13	9.38	 7.91
Carina             06:41:36.7 -50:57:58	0.10	 6.54
IC2171             06:44:27.3 -17:55:57	9.90	 9.05
PictorII          06:44:43.2 -59:54:00	0.05	 4.13
NGC2283            06:45:52.7 -18:12:37	10.00	 9.84
KKSG9              06:46:56.9 -17:56:29	10.00	 8.72
KKH37              06:47:45.8 +80:07:26	3.44	 6.90
KKH38              06:47:54.9 +47:30:50	10.20	 7.47
UGC03600           06:55:40.0 +39:05:42	10.19	 8.05
HIZSS003B          07:00:24.7 -04:13:18	6.64	 8.16
HIZSS003           07:00:29.3 -04:12:30	6.64	 8.56
FG202              07:05:17.1 -58:31:14	5.30	 7.92
#HIPASSJ0705-20    07:05:45.0 -20:59:30	11.97	   NaN 
ESO558-011         07:06:56.8 -22:02:26	7.16	 9.00
NGC2337dwTBG1      07:08:29.7 +44:37:26	11.90	 7.14
UGC03698           07:09:18.8 +44:22:48	11.27	 8.36
NGC2337            07:10:13.6 +44:27:25	11.86	 9.34
UGC03755           07:13:51.8 +10:31:19	7.69	 8.43
UGC03817           07:22:44.5 +45:06:30	8.55	 8.43
HIZSS008           07:25:22.0 -24:28:31	11.86	10.27
DDO043             07:28:17.2 +40:46:13	10.47	 8.13
NGC2366            07:28:54.6 +69:12:19	3.28	 8.70
HIZSS012           07:30:08.3 -22:01:01	11.80	10.10
ESO059-001         07:31:19.3 -68:11:10	4.63	 8.17
DDO044             07:34:11.3 +66:53:10	3.21	 7.78
AGC174585          07:36:10.3 +09:59:11	7.73	 6.94
HIZSS014           07:36:22.6 -19:29:40	12.13	 9.35
CarinaII          07:36:25.6 -56:00:03	0.04	 4.69
NGC2403            07:36:51.4 +65:35:58	3.19	 9.86
LVJ0737+4724      07:37:28.5 +47:24:33	15.70	 7.61
CarinaIII         07:38:31.2 -56:06:01	0.03	 3.84
DDO046             07:41:25.8 +40:06:45	10.38	 8.47
DDO047             07:41:55.0 +16:48:02	8.17	 8.74
KK65               07:42:31.2 +16:33:40	7.98	 8.11
MADCASHJ0742+65dw 07:42:38.9 +65:25:02	3.39	 5.86
HIZSS021           07:46:16.5 -28:28:11	5.78	 8.53
CGCG262-028       07:47:32.1 +51:11:29	9.80	 8.18
KKH40              07:46:56.4 +51:17:46	9.25	 7.65
AGC174605          07:50:21.7 +07:47:40	9.59	 7.06
UGC04115           07:57:01.8 +14:23:27	7.87	 8.26
HIZOAJ0800-36     08:00:22.7 -36:39:34	6.80	 7.35
HIPASSJ0801-21    08:01:25.4 -21:59:51	10.42	 7.79
NGC2500            08:01:53.2 +50:44:14	12.40	 9.80
HIZSS033           08:07:03.6 -37:44:22	7.40	 8.05
LVJ0812+4836      08:12:39.5 +48:36:45	12.42	 7.69
NGC2537            08:13:14.7 +45:59:26	12.20	 9.84
IC2233             08:13:58.9 +45:44:32	12.20	 9.22
NGC2541            08:14:40.1 +49:03:42	12.40	 9.48
HolmII             08:19:04.0 +70:42:51	3.47	 9.20
NGC2552            08:19:20.5 +50:00:35	12.40	 9.51
ESO006-001         08:19:23.3 -85:08:44	7.21	 7.87
ESO495-008         08:21:00.7 -23:46:53	17.30	 8.52
AGC188955          08:21:37.0 +04:19:01	14.50	 7.61
KDG052             08:23:56.0 +71:01:46	3.42	 6.93
KUG0821+321       08:25:05.0 +32:01:05	13.49	 7.83
CGMW2-3473         08:25:12.9 -28:08:25	7.40	 8.31
DDO052             08:28:28.5 +41:51:24	9.86	 8.36
LVJ0831+4104      08:31:41.2 +41:04:54	7.90	 7.02
DDO053             08:34:06.5 +66:10:45	3.68	 7.34
ESO495-021         08:36:15.2 -26:24:34	8.24	 9.56
UGC04483           08:37:03.0 +69:46:31	3.58	 7.09
AGC181604          08:39:48.7 +31:40:52	12.88	 7.58
LVJ0843+4025      08:43:38.0 +40:25:47	7.80	 6.92
ESO496-010         08:49:06.0 -26:19:12	8.59	 8.43
AGC182595          08:51:12.1 +27:52:48	8.47	 7.30
UMaII             08:51:30.0 +63:07:48	0.03	 4.18
NGC2683            08:52:40.9 +33:25:02	9.82	10.81
KK69               08:52:50.7 +33:47:52	9.16	 7.27
NGC2683dw1         08:53:26.8 +33:18:19	9.82	 6.49
N2683dw2           08:54:20.5 +33:14:58	9.82	 7.14
KK70               08:55:22.0 +33:33:33	9.29	 7.86
KSP-DW1            08:56:52.2 -24:58:05	9.82	 7.80
KSP-DW3            08:58:25.5 -24:44:55	9.82	 8.22
KSP-DW4            08:58:29.5 -25:06:18	9.82	 7.72
UGC04704           08:59:00.3 +39:12:36	15.20	 8.93
LVJ0859+3923      08:59:46.9 +39:23:06	9.40	 7.34
LSBCD564-08       09:02:54.0 +20:04:31	8.83	 7.03
ESO497-004         09:03:03.1 -23:48:30	11.17	 8.85
KSP-DW6            09:04:02.4 -22:56:52	9.82	 6.99
HIPASSJ0905-36    09:06:00.0 -36:03:36	12.40	 8.21
UGC04787           09:07:34.9 +33:16:36	20.30	 9.26
KKH46              09:08:36.6 +05:17:32	6.70	 7.16
KSP-DW11           09:08:53.3 -23:08:33	9.82	 7.16
LSBCD634-03       09:08:53.5 +14:34:55	9.59	 7.28
KSP-DW12           09:09:06.4 -23:53:58	9.82	 6.18
KK71               09:09:10.9 -23:22:04	9.80	 7.46
DDO056             09:09:46.6 -23:00:33	10.91	 8.50
KSP-DW13           09:10:00.0 -24:10:19	9.82	 7.86
KSP-DW14           09:10:25.0 -24:01:30	9.82	 7.84
KSP-DW15           09:11:10.7 -24:24:41	9.82	 7.83
KSP-DW16           09:11:26.9 -23:08:44	9.82	 6.66
KSP-DW17           09:11:36.2 -23:30:00	9.82	 8.38
KSP-DW18           09:11:42.2 -24:13:29	9.82	 6.58
KK72               09:11:42.3 -23:58:56	9.80	 7.83
NGC2784dw01       09:12:18.5 -24:12:40	9.80	 8.41
NGC2784            09:12:19.4 -24:10:18	9.82	10.80
KK73               09:12:29.3 -24:14:28	9.80	 9.08
UGCA153            09:13:12.1 -19:24:31	21.90	 9.07
LVJ0913+1937      09:13:39.0 +19:37:08	7.83	 7.16
KK74               09:14:32.4 -23:33:26	9.82	 8.52
KSP-DW20           09:14:40.5 -24:15:10	9.82	 7.45
KSP-DW21           09:15:08.4 -25:02:58	9.82	 6.45
AGC198507          09:15:25.8 +25:25:10	8.90	 6.77
KSP-DW23           09:16:01.6 -23:36:23	9.82	 6.32
UGC04879           09:16:02.2 +52:50:24	1.37	 6.99
KSP-DW24           09:16:08.5 -23:43:17	9.82	 6.58
HIPASSJ0916-23b   09:16:58.0 -23:16:47	10.30	 8.47
KSP-DW28           09:17:43.4 -23:29:37	9.82	 7.93
NGC2835            09:17:52.9 -22:21:19	10.30	10.19
NGC2787            09:19:18.6 +69:12:12	7.48	10.19
LSBCD565-06       09:19:29.4 +21:36:12	9.29	 7.34
UGC04932           09:19:34.1 +51:06:33	20.60	 8.69
KSP-DW30           09:20:13.2 -23:56:02	9.82	 6.65
KJ78               09:20:36.4 +49:40:31	10.86	 6.95
DDO062             09:21:27.5 -22:30:02	10.86	 8.71
AGC198508          09:22:57.0 +24:56:48	10.42	 7.23
ESO565-003         09:23:09.9 -20:10:03	10.67	 8.20
MCG+09-16-010     09:23:17.0 +51:58:23	11.17	 8.00
UGC04998           09:25:12.1 +68:22:59	8.24	 8.71
LVJ0926+3343      09:26:09.4 +33:43:04	10.30	 7.29
NGC2915            09:26:11.5 -76:37:35	4.29	 8.74
[CKT2009]d0926+70  09:26:27.9 +70:30:24	3.40	 6.11
UGC05047           09:28:49.6 +51:33:38	19.68	 8.71
KDG056             09:30:12.9 +19:59:30	8.90	 7.42
NGC2903-HI-1       09:30:39.9 +21:43:25	8.90	 6.92
NGC2903            09:32:09.6 +21:30:02	8.87	10.82
ESO373-007         09:32:45.4 -33:14:44	8.30	 7.76
UGC05086           09:32:48.9 +21:27:54	8.70	 8.34
[CKT2009]d0934+70  09:34:03.7 +70:12:57	3.02	 6.64
CGCG035-007       09:34:44.9 +06:25:32	13.00	 8.48
LeoT               09:34:53.4 +17:03:05	0.42	 4.94
LVJ0935-1348      09:35:21.6 -13:48:52	9.06	 7.60
Antlia2           09:35:32.8 -36:46:02	0.13	 6.11
[CKT2009]d0939+71  09:39:15.9 +71:18:42	3.65	 5.60
LVJ0939-2507      09:39:35.0 -25:07:35	8.32	 7.99
KISSB023           09:40:12.7 +29:35:29	19.80	 8.35
KUG0937+480       09:40:19.6 +47:46:38	11.80	 7.62
KDG058             09:40:27.0 +00:02:33	22.93	 8.19
HolmI              09:40:32.3 +71:11:11	4.02	 8.05
UGC05186           09:42:59.8 +33:15:52	9.40	 7.71
AGC198691          09:43:32.4 +33:26:58	10.91	 6.42
LVJ0944-2254      09:44:20.1 -22:54:58	8.20	 7.48
[CKT2009]d0944+69  09:44:22.5 +69:12:40	3.84	 5.88
[CKT2009]d0944+71  09:44:34.4 +71:28:57	3.47	 7.41
IC0559             09:44:43.9 +09:36:55	9.40	 8.25
F8D1               09:44:47.1 +67:26:19	3.75	 7.98
UGC05209           09:45:04.2 +32:14:18	10.19	 7.88
FM1                09:45:10.0 +68:45:54	3.78	 7.23
RKK1610            09:45:24.8 -48:08:29	9.35	 8.27
NGC2976            09:47:15.6 +67:54:49	3.66	 9.44
AGC191803          09:48:05.9 +07:07:45	14.90	 8.04
AntliaB           09:48:56.1 -25:59:24	1.29	 6.09
KK77               09:50:10.0 +67:30:24	3.80	 7.84
KK78               09:50:19.6 +31:27:24	10.91	 7.29
DDO064             09:50:22.4 +31:29:15	10.91	 8.41
UGC05288           09:51:17.2 +07:49:38	11.53	 8.85
NGC3037            09:51:24.0 -27:00:40	10.28	 8.90
BK3N               09:53:48.5 +68:58:09	4.17	 6.12
LVJ0954+3620      09:54:50.6 +36:20:02	10.42	 7.13
KKSG15             09:55:10.5 -06:16:12	9.70	 8.24
[CKT2009]d0955+70  09:55:13.6 +70:24:29	3.45	 6.48
MESSIER081         09:55:33.5 +69:04:00	3.70	10.95
JKB83              09:55:49.6 +69:19:57	3.70	 5.63
MESSIER082         09:55:53.9 +69:40:57	3.61	10.59
LVJ0956-0929      09:56:37.6 -09:29:11	9.38	 7.95
DDO068C            09:56:41.1 +29:00:51	12.70	 7.53
DDO068             09:56:45.7 +28:49:30	12.74	 8.40
KDG061             09:57:02.7 +68:35:30	3.66	 8.11
KDG61em            09:57:07.5 +68:35:54	3.70	 5.98
PGC154449          09:57:08.9 -09:15:48	9.70	 7.90
ClumpI             09:57:21.2 +68:42:55	3.60	 5.57
A0952+69           09:57:29.0 +69:16:20	3.93	 6.87
HolmIX             09:57:32.4 +69:02:35	3.85	 7.75
PGC28789           09:58:00.9 +47:19:28	10.76	 8.05
AGC718245          09:58:16.2 +21:05:20	10.42	 7.60
[CKT2009]d0958+66  09:58:48.5 +66:50:59	3.82	 7.12
AGC198712          09:59:10.3 +36:02:23	10.81	 6.97
LeoA               09:59:26.4 +30:44:47	0.74	 6.86
[CKT2009]d0959+68  09:59:33.1 +68:39:25	4.27	 6.44
KKSG16             09:59:47.5 -09:20:36	9.70	 7.85
SexB               10:00:00.1 +05:19:56	1.43	 7.83
KKH57              10:00:16.0 +63:11:06	3.68	 6.97
LVJ1000+5022      10:00:25.5 +50:22:45	11.80	 7.58
LVJ1000+3032      10:00:36.5 +30:32:10	9.33	 7.00
ClumpIII           10:00:40.4 +68:39:37	3.60	 5.57
MCG-01-26-009     10:01:33.6 -06:31:30	9.70	 7.85
KKSG17             10:01:38.4 -08:14:56	6.92	 7.87
UGCA193            10:02:36.2 -06:00:43	9.70	 8.50
NGC3109            10:03:07.2 -26:09:36	1.34	 8.58
NGC3077            10:03:21.0 +68:44:02	3.85	 9.57
GARLAND            10:03:42.0 +68:41:36	3.82	 6.81
ESO499-038         10:03:50.2 -26:36:46	12.20	 8.27
NGC3104            10:03:57.4 +40:45:25	16.00	 9.23
Antlia             10:04:04.0 -27:19:55	1.37	 6.50
BK5N               10:04:40.3 +68:15:20	3.70	 7.18
UGC05427           10:04:41.0 +29:21:59	11.30	 8.54
KDG063             10:05:07.3 +66:33:18	3.65	 7.84
NGC3115            10:05:14.0 -07:43:07	9.68	10.95
UGC05423           10:05:30.6 +70:21:52	8.87	 8.42
d1005+68           10:05:31.8 +68:14:20	3.98	 5.92
KDG065             10:05:34.4 -07:44:57	9.70	 8.39
KKSG18             10:05:41.6 -07:58:53	9.70	 9.27
[CKT2009]d1006+67  10:06:46.2 +67:12:04	3.61	 6.31
d1006+69           10:06:55.5 +69:54:17	4.33	 6.30
KDG064             10:07:01.9 +67:49:39	3.75	 7.99
Segue1            10:07:03.2 +16:04:25	0.02	 3.24
UGC05456           10:07:19.7 +10:21:44	10.52	 8.71
KKH58              10:07:22.7 +38:58:11	18.40	 8.67
IKN                10:08:05.9 +68:23:57	3.75	 7.60
LeoI               10:08:26.9 +12:18:29	0.26	 7.38
d1009+68           10:09:14.3 +68:45:25	3.73	 6.25
AGC208477          10:09:19.8 +27:56:44	9.73	 6.91
PGC1099440         10:09:32.5 -02:10:58	9.64	 7.97
[CKT2009]d1009+70  10:09:34.9 +70:32:55	9.00	 7.90
